teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
herbal medicine combination (2)||alteplase (genetical recombination)|burosumab (genetical recombination)|hexanedioic acid, ion(2-)|liraglutide (genetical recombination)|lenograstim (genetical recombination)|laronidase (genetical recombination)|abciximab (genetical recombination)|lyme disease vaccine (recombinant ospa)|ocrelizumab (genetical recombination)|aflibercept (genetical recombination)
angina medicine||air, medicinal|annamycin|ansamicin|nimodipine|nifedipine|rifampicine|avilamycine|nicardipine|anileridine|indometacine
onibide intravenous infusion||calendula flower olive oil infusion|crotalid antivenin (equine)|hiv integrase inhibitor|centruroides antivenin (equine)|antivenin,micrurus fulvius|óxido de nitrógeno(ii)|laronidase (genetical recombination)|indian olibanum resin|oriental lotus flower|aprotinin concentrated solution
unknown drug (transfusion)||citron fruit (citrus junos)|brown rice preparation|chondrus crispus whole|kino australiensis|benzoin extract (resinoid)|chondrus crispus|chondrus crispus powder|tuna (thunnus thynnus)|19-norandrostenedione|chondrus crispus leaf
intestinal cleansing agent||ovine acth releasing factor|indian plantain seed|insulina glulisina|insulina glargina|thyrotropin-releasing factor|vitamin c magnesium salt|inositol hexanicotinate|cassia alexandrina leaf|senna alexandrina leaf|tsh-releasing factor
antibiotic preparation||brown rice preparation|atlantic halibut preparation|lamb preparation|oats preparation|salmon preparation|caviar preparation|rhubarb preparation|serenoa preparation|schizandra preparation|corn starch preparation
ocv-101||oc-1012|av-101|orp-101|so-101|onc-201|evt-101|ore-1001|acv-1|st-101|cf-102
unknown drud||sunflower seed|maranon fruit|rainbow trout|indian red|milk,nonfat dry|undecenoic acid|urokonic acid|fluocinonidum|butenoic acid|butanoic acid
anfentamin||amfetamine|amfetamina|alfentanil|amfetaminum|metanfetamina|dexanfetamina|altretamin|alfentanyl|carfentanil|alfentanilo
internal medicine prescription drug||garden snail mucin preparation|siberian ginseng preparation|wintersteiner's compound f|brown rice preparation|matricaria recutita preparation|natural heparin pentasaccharide|synthetic porcine secretin|intron a (interferon α2b)|diethylenetriamine pentaacetic acid|norleucine phosphonate
maintenance solution (composite sugar added)||rehmanniae glutinosa conquitae radix|human menopausal gonadotropin (urine derived)|monoethanolamine palmitic acid amide|magnesium aluminum silicate hydrate|4-aminobenzene sulfonic acid amide|magnesium aluminosilicate hydrate|pine needle volatile oil (pinus mugo)|momordica fruit (momordica charantia)|magnesium aluminium silicate hydrate|sennae folium (cassia angustifolia)
unknowendrug||sunflower oil|4-norendiol|linksweinsäure|sunflower seed|noretynodrelum|monobenzonum|irinotecanum|noretynodrel|nicorandilum|pimobendanum
interleukin-6||interleukin-7|interleukin-3|interleukin-2|interleukin-4|interleukin-11|interleukin-10|interleukin 3|interleukin 11|human interleukin-2|interleukin 4 human
nonakog beta pegor (genetical recombination)||agalsidase beta (genetical recombination)|somatrem (genetical recombination)|laronidase (genetical recombination)|lenograstim (genetical recombination)|liraglutide (genetical recombination)|aflibercept (genetical recombination)|somapacitan (genetical recombination)|insulin lispro (genetical recombination)|alteplase (genetical recombination)|antithrombin gamma (genetical recombination)
unknow drag||nonox za|ginkgo leaf|isunakinra|pumosetrag|sunflower seed|ginkgo extract|rainbow trout|ginkgolide-a|ginkgolide a|quinagolida
aneton almedy rhinitis tablets||acetic acid, zinc salt|butanedioic acid, dilithium salt|carbonic acid, dilithium salt|betula alleghaniensis pollen|acetic acid magnesium salt|salmon allergenic extract|casein allergenic extract|citric acid, trilithium salt|acetic acid, sodium salt|pecan allergenic extract
human platelet transfusion hla (irradiation)||human plasma protein fraction|human polyvalent shedded antigen vaccine|human relaxin 2 (relaxin h2)|human c1-esterase inhibitor|human coagulation factor viii|human interleukin-3 (nonglycosylated)|somapacitan (genetical recombination)|alteplase (genetical recombination)|human herpesvirus 3 live (attenuated) antigen|agalsidase beta (genetical recombination)
interleukin 2||interleukin-2|interleukin 3|interleukin 11|interleukin-3|interleukin-4|interleukin-7|interleukin-10|interleukin-11|interleukin 1 alpha|interleukin 4 human
unknouwndrug||nicorandilum|auranofinum|guanoclorum|guanoxanum|flounder|noretynodrelum|aminoquinuride|aminoguanidine|daunorubicinum|fluocinonidum
aneton||neon|dantron|anethole|infecton|pantol|algeron|kinetin|manitol|aneurin|dantrone
int||zinc|kinetin|dinatin|jintiao|pinitol|rintega|snet2|oxine|penta|ifn-ω
non-pyrine cold remedy (1)||iodine iofetamine (123i)|lumefantrine co-artemether|glycine gracilis seed oil|3-pyridinecarboxaldehyde|iodine ioflupane (123i)|zingiber cholmondeleyi oil|apricot seed oil|l-serine, acetate (ester)|glycine hispida seed oil|β-pyridinecarboxamide
unknoun||auranofin|bunazosin|guanosin|guanoxan|nikotin|inkazan|xenon|urson|onion|neon
synthetic antibacterial agent||synthetic preimplantation factor|synthetic conjugated estrogens, a|synthetic conjugated estrogens, b|synthetic human secretin|synthetic somatostatin-14|synthetic porcine secretin|hepatitis b surface antigens|hepatitis b surface antigen|amniotic epithelial cells|air, synthetic medicinal
insulin nos||insulin pork|insulin x14|insulin beef|insulin human|insulin (pork)|insulin bovine|insulin lispro|insulin argine|insulin, human|insulin aspart
unf||tuna|budnj|usnea|rhngf|hu3f8|udenafil|yunzhi|turnip|quinol|juhong
anesthetics (including muscle relaxants)||anthemis nobilis flower extract|synthetic porcine secretin|anthemis nobilis extract|n-methyl quinuclidinyl benzilate|antivenin (latrodectus mactans)|heterotheca inuloides flower extract|synthetic human secretin|hepatitis b vaccine (recombinant)|angelica sinensis root extract|antivenin (micrurus fulvius)
magnolia||magnesia|magrolimab|lanolin|magnesio|anilina|elagolix|mevinolin|magnésium|rauwolfia|magnesium
nikoami combination (2)||chromium cation (3+)|nickel cation (ni2+)|antimony cation (5+)|gadolinium cation (3+)|chromium cation (cr3+)|cobalt cation (co2+)|antithrombin (recombinant)|lanthanum cation (3+)|adipic acid ion (2-)|gold cation (1+)
insomnia medicine||indometacine|insulin porcine|semduramicine|inositol niacinate|isonipecaïne|virginiamycine|cis-zimelidine|iodo-willardiine|insulin, porcine|aminomethanamidine
anesthetic||ancestim|anethole|adenogesic|alrestatin|apstatin|ganetespib|nedisertib|etretin|acetophenetin|danusertib
lulu||riluzolum|olaflur|huluc63|lupeol|177lu|inula|l-lys|l-dbu|ju ju|kullo
undecided||indecainide|undecanal|sulodexide|indecainida|undecanaldehyde|undecylaldehyde|candicidine|candicidin|undecylic aldehyde|vindesine
insecticide||indecainide|incyclinide|indecainida|nectrolide|fenretinide|ginsenoside|intoplicine|streptocide|pilsicainide|fensuccimide
ingredient name unknown||cintredekin besudotox|garden snail mucin|ingenol mebutato|garden sage oil|oriental melon|brilliant green cation|green amaranth pollen|indian frankincense|brilliant green ion|indian saffron root
anemia improving drug||analogue of indinavir drug|nevirapine, anhydrous|nevirapine anhydrous|aralia ginseng fruit|magnesii hydroxidum|aminocaproic acid|garcinia cambogia fruit|acacia ampliceps gum|acacia victoriae gum|asian ginseng fruit
unasyn s||lunasin|lunasine|narasin a|uramycin b|kanamycin a|bunazosin|incasan|lunasine, (-)-|rifamycin sv|nanaomycin d
lembolexant||lemborexant|nemorexant|almorexant|seltorexant|filorexant|suvorexant|perflexane|fezolinetant|ebopiprant|methotrexat
insect repellent (general medicine)||chinese ephedra root (ephedra sinica)|chinese ephedra stem (ephedra sinica)|aflibercept (genetical recombination)|alteplase (genetical recombination)|insulin glargine (rdna origin)|agalsidase beta (genetical recombination)|insulin lispro (genetical recombination)|isoquercetin enzymatically modified|ginseng root-neutral saponins|crotalidae polyvalent antivenin (equine)
androgen (general drug)||analogue of indinavir drug|hydrogen iodide, anhydrous|european blueberry fruit|hydrogen peroxide|fibrinogen concentrate (human)|mahuanggen (ephedra sinica)|nandrolone phenpropionate|somatropin (rdna origin)|intron (interferon α2b)|anhydrous entecavir
enteric component nutritional supplement (10)||menrium component estrogens, esterified|perftoran component perfluorodecalin|pyrethrins component of rid mousse|insulin recombinant purified human|pegylated recombinant human arginase i bct-100|endolipide component egg lecithin|recombinant deoxyribonuclease (dnase)|egg lecithin component of endolipide|prednisolone tertiary butylacetate|estrogens, esterified component of menrium
una kowa cool||gotu kola whole|cinnamyl alcohol|montanyl alcohol|grain alcohol|sunflower oil|mountain tobacco whole|curcuma longa root|burra gokharu root|arnica flower oil|wool wax alcohol
keishito kaohyoyu||cefixime anhydrous|amifostine anhydrous|nevirapine anhydrous|lisinopril anhydrous|peramivir anhydrous|dextrose anhydrous|nestorone alcohol|kamchatka trout|behenic alcohol|testolactonum
androgen||hydrogen|narcogen|nitrogen|coprogen|nandrolona|oxandrolon|nandrolone|dantroleno|dantrolene|tanaproget
inotuzumab ozogamacin||inotuzumab ozogamicin|gemtuzumab ozogamicin|trastuzumab duocarmazine|pinatuzumab vedotin|cantuzumab ravtansine|denintuzumab mafodotin|telisotuzumab vedotin|sacituzumab govitecan|lorvotuzumab mertansine|cergutuzumab amunaleukin
enocitabin||gemcitabin|decitabina|decitabine|capecitabin|gemcitabine|gemcitabina|mericitabine|elvucitabine|emtricitabin|tezacitabine
inorganic salt preparation||atlantic halibut preparation|corn starch preparation|siberian ginseng preparation|damiana leaf preparation|schizandra preparation|brown rice preparation|boswellia serrata preparation|oats preparation|caviar preparation|serenoa preparation
and flu therapies (unspecified)||zinc sulfate, unspecified|dextrose, unspecified|benzoin resin, unspecified|tocopherol acetate, unspecified|oxerutins, unspecified|lobster, unspecified|hawthorn leaf with flower, unspecified|vasopressin, unspecified|hazelnut, unspecified|crab leg, unspecified
fasdil hydrochloride hydrate||silicon dioxide hydrate|silicic acid hydrate|ferric chloride, anhydrous|calcium chloride anhydrous|magnesium chloride anhydrous|zirconium chloride hydroxide|aluminum chlorohydrate dihydrate|aluminum chlorohydrate|hexafluoroacetone hydrate|iron azide hydrate
immuno globulin||cmv-immune globulin|vzv immune globulin|immune globulin human|anti-d immunoglobulin|rabies immune globulin|immunoglobulin (human)|tetanus immunoglobulin|human immunoglobulin g|rabies immunoglobulins|anti-d immunoglobulins
ulcerative colitis drug||loperamide oxide anhydrous|puncturevine caltrop fruit|hederae helicis folium|codeine polistirex|chlorpheniramine polistirex|edetate copper disodium|creatine phosphic acid|placenta totalis suis|loperamide oxide|colchester native oyster shell
ancotil||ancestim|alcohol|nicotina|nicotine|linostil|artemotil|anlotinib|enprostil|ascotoxin|mangostin
inochinohaha||biochanin a|urochinasi|inolimomab|octinoxate|inosina|nor-noha|minociclina|isocyanomethane|insulin human|procainamida
electrolytes (2-1)||electrolytic iron|dichromate(2−)|dichromate ion(2−)|iron sulfate (1:1)|altropane i-123|calcium carbonate (1:1)|iodocholesterol (131i)|copper sulfate (1:1)|iron, electrolytic|fluciclovine (18f)
hydrocorisone||hydrocortisone|dehydrocortisone|hydrocortisonum|hidrocortisona|hydrocodone|11β-hydrocortisone|fluohydrocortisone|hydromorphone|fludrocortisone|hydrocone
inhaled steroid||cholesterol|finasterida|cholesterin|finasteride|aldosterone|aldosterona|aldosteronum|(+)-aldosterone|finasteridum|pineapple stem bromelain
ukknowndrug||guanoclorum|fluocinonidum|rainbow trout|amcinonidum|auranofinum|guanoxanum|noretynodrelum|maranon fruit|sufentanilum|quinagolidum
1172010||fr117016|nd7001|arx201|e-6201|kd3010|vir201|t-2000|tg4010|kd7040|vb-201
ancitabine hydrochloride||acriflavine hydrochloride|adiphenine hydrochloride|aluminum hydroxychloride|acetylene trichloride|zirconyl hydroxychloride|zirconium hydroxychloride|scopolamine hydrobromide|nitrogen trichloride|acetic acid chloride|calcium hypochlorite
inhaled corticosteroid||desoxycorticosterone|11-deoxycorticosterone|17-hydroxycorticosterone|corticosterone|human corticoliberin|11-desoxycorticosterone|adrenocorticotrophin|11-dehydroxycorticosterone|5β-dihydrodeoxycorticosterone|activated ergosterol
analgesics and anti-inflammator||salisburia adiantifolia leaf water|angelica archangelica powder|angelica archangelica root|gastric intrinsic factor|agrostis graniticola top|synthetic preimplantation factor|platelet activating factor|preimplantation factor|humanized smart anti-il-12 antibody|salisburia adiantifolia leaf oil
ugali (5-10)||uracil (2-13c)|uracil-(2-13c)|gold (au1+)|gallium (ga3+)|uracil 2c-13|uracil c-13|gold ion(1+)|gold au-198|adl 10-0101|urea (13c)
inhalation||malathion|zinc cation|nedaplatin|vinblastin|dinalin|dinatin|cisplatin|indalpine|idralazina|lobaplatin
human whole blood (irradiation)||human plasma protein fraction|human relaxin 2 (relaxin h2)|human chorionic gonadotropin|human von willebrand factor|human cholecystokinin-33|human insulin (rdna)|human factor viii (recombinant)|human menopausal gonadotropin|human-chorionic gonadotropin|gentian violet carbocation
dried human blood coagulation factor antibody bypass active complex||human coagulation factor viii/von willebrand factor complex|bothrops atrox blood-coagulation factor x activator|recombinant human coagulation factor ix, fc fusion protein|human antihemophilic factor/von willebrand factor complex|blood coagulation factor xiii  (synthetic human a-chain precursor)|anti-cd19 humanized monoclonal antibody conjugated to dm4|blood coagulation factor xiv (human)|anisoylated plasminogen streptokinase activator complex|human coagulation factor viii|human coagulation factor vii
analgesia||analgesine|anagrelida|magnesia|angelica|acadesina|onalespib|acalisib|anagrelide|adenogesic|lanadigenin
inhalant||incasan|inkazan|nifekalant|dinalin|dinaline|indalpine|cinalukast|xevinapant|rimonabant|surinabant
ugali (4-16)||uracil (2-13c)|uracil-(2-13c)|gold (au1+)|gallium (ga3+)|uracil 2c-13|uracil c-13|gold ion(1+)|gold au-198|urea (13c)|urea (14c)
daisaikoto||salsalato|paricalcitol|cannabinolo|diatrizoate|daniquidone|irdabisant|icosapento|d-inositol|aliskireno|almasilato
amphotericine b||amphotericin b|amphotéricine b|amphotericinum b|amfotericina b|aminopteridine|camptothecine|liposomal amphotericin b|lamotrigine|aminopterine|hydrotricine
holoxan||haloxon|illoxan|hoelon|haloxone|haloxona|halotano|ofloxacin|toloxatone|poloxalene|phloxine
ingredient unknown||indian frankincense|remifentanilo|cintredekin besudotox|hexanedioate dianion|interleukin 4 human|brilliant green ion|ding xiang bud oil|a f green no.2|long fin tunny|oriental melon
amogastrin||monapterin|urogastrone|pentagastrin|amoxapin|monastrol|aminacrin|amifostina|amifostine|ramosetron|monostearin
ugali (1-5)||urea (13c)|urea (14c)|uracil (2-13c)|gallium (ga3+)|atch (1-24)|gold (au1+)|gold(1+)|lunasine, (-)-|uracil-(2-13c)|gold (198 au)
brolsimab (genetical recombination)||burosumab (genetical recombination)|abciximab (genetical recombination)|infliximab (genetical recombination)|ocrelizumab (genetical recombination)|adalimumab (genetical recombination)|laronidase (genetical recombination)|somatrem (genetical recombination)|galsulfase (genetical recombination)|lenograstim (genetical recombination)|agalsidase beta (genetical recombination)
hawthorn||hycanthon|danthron|hycanthone|halothane|parathyrin|cantharone|thephorin|camphora|dantron|parathormone
influenza ha vaccine kaketsuken tf||influenza a virus h1n1 live antigen, a|influenza a virus h3n2 live antigen, a|influenza virus type b|influenza virus type a (h3n2)|influenza virus type a (h1n1)|ebola zaire vaccine (live, attenuated)|influenza virus type b (yamagata)|influenza virus type b (victoria)|measles virus vaccine live attenuated|indigofera cinerascens leaf
