dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
aiclesig||iclusig|iclevia|diclegis|baicalein|aliclen|clensil|ancestim|ariclaim|acalisib|bizelesin
mixed killed bacteria||rite aid antibacterial|zep mild antibacterial|mimo gold antibacterial|gsd anti bacterial|hand wipes antibacterial|madina antibacterial|waxie antibacterial|moonlite antibacterial|white tea antibacterial|choice liquid antibacterial
vascular reinforcement||clarifying treatment|jason dandruff relief treatment|arisulfur acne treatment|cvs cold sore treatment|sterculia urens resin|sulfur spot treatment|clear acne treatment|bacitracin ointment|ecolab clean force|insulatard innolet
ac-220||cc-220|at2220|cc-223|ac-430|ac-100|ap-22408|amp-224|he-2200|amg-222|ac-262536
acelio||acelarin|acneclir|actelion-1|aceon|avelox|jelido|alivio|calcio|acenol|heliox
valley starch||maize starch|zea mays starch|tapioca starch|topical starch|valstar|blue star|all state|hetastarch|aloe touch|corn starch
lorezem||lorazepam|lormetazepam|lorcet|mireze|rozerem|forever|lorelco|lorzone|lopreeza|doripenem
dental analgesics and sedatives (including root canal and pit disinfectants)||i d sept anti bacterial alcohol based hand and skin disinfectant|i d anti bacterial alcohol based hand and skin disinfectant|diabetic basics brand antiseptic skin cleansing foot and body lotion|anti-bacterial alcohol-based hand and skin disinfectant|the villages hand sanitizer with aloe and vitamin e extract|diabetic basics brand antiseptic skin cleansing instant foot sanitizer|kleanmann - hand sanitizer and surface disinfectant|bye bye germs hand sanitizer advanced formula aloe and vitamin e|natural concepts hand sanitizer with moisturizers and vitamin e fresh scent|health smart instant hand sanitizer with aloe vera and vitamin e lavender
valhydi||vashti|sovaldi|valcyte|valium|vanadio|valchlor|valtaxin|valine|calmylin|avalide
ling gui zhuanyu||li hui hua|dang gui shen|long fin tunny|sheng di huang|jin gu wang|dang gui tou|insulin (human)|insulin human|in good hands|zheng gu shui
lopemin||loperamid|lowprin|dopamine|lobelina|lobeline|lotrimin|dopamina|lotensin|loperamida|dopexamine
lilanafto||lianqiao|olacaftor|ivacaftor|lumacaftor|finafta|lian qiao|pipetanato|vilantérol|vilanterol|galicaftor
loop diuretic||tusnel diabetic|botox cosmetic|glyoxaldiureine|glyoxyldiureide|tukol for diabetics|alcohol antiseptic|culex dipseticus|glyoxaldiurene|sodium diuril|rohto arctic
vaccines (general drugs)||acacia senegal resin|bcg vaccine (freeze-dried)|acacia senegal gum|reactine eye drops|dermacinrx penetral cream|dr ciel mineral emulsion|vaccinium nigrum fruit|rain renewal eye drops|chinese ginseng fruit|vaccinium ramulosum fruit
keishikashakuyakuto||esika silk skin|nourishing hydrator|esika natural care|kamchatka trout|myristica moschata fruit|weisilan hand sanitizer|meshimakobu mycelium|mentha austriaca top|big wipes heavy duty|zeposia starter kit
γ-bhc||q-bh2|p-bloc|5-bacu|6r-bh4|h-hcg|m-thpc|4-mbc|gamma-bhc|z-bum|6-bio
uz||vituz|ameluz|rubzan|urevaz|yunzhi|fuzeon|nuzyra|tuna|plum|urea
abpc||ka pec|ampcpr|atp|avac|apsac|apcal|orabloc|tabacum|gabapal|abp-700
timiperone||moperone|pipamperone|imipenem|melperone|tiadipone|mibolerone|zingiberone|carpiperone|trimipramine|tildipirosine
zaru trap||zaltrap|zarnestra|arixtra|alra therapy|hand therapy|ai tape|zinc therapy|zap apf|zutectra|cardura
uyaku||sayak|dynarub|ayvakyt|jiaokou|hypaque|cupcake|duraflu|upandup|ayvakit|ibupak
longannik||lonafarnib|movantik|lofentanil|lenvatinib|blonanserin|lorlatinib|lonidamin|donafenib|wortmannin|gallotannin
simetride||rimeporide|bemegride|cimetidine|simeticone|glimepiride|simethicone|dimetacrine|dimetofrine|inderide|itopride
uunknowndrug||sunmark no drip|generic drug|guanoclorum|sunflower|kondremul|fluocinonidum|flunisolidum|antidandruff|hormodendrum|quinagolidum
aborubukabu||abrilumab|abituzumab|dalotuzumab|labetuzumab|ofatumumabum|lacnotuzumab|sibrotuzumab|daratumumab|vaborbactam|onartuzumab
wound protectant (general drug)||skin protectant original|skin protectant lavender|skin protectant aloe vera|skin protectant sweet pea|skin protectant flushable wipes|skin protectant cocoa butter|op protect and renew face spf 35|skin protectant with lanolin|protect antibacterial bar|skin protectant cream 43% petrolatum
utto lock||sun block|bitter dock|pantoloc|sulfo lo|stop the clock|huitomi pack|qt sun block|sour dock|sunblock|tall dock
vitamins (2-7)||vitamin b2|vitamin k7|vitamin d2|vitamin b7|vitamin l2|vitamin k2|vitamin b-2|vitamin d-3|vitamina d2|vitamins a d
long-acting β-agonist combination||lenograstim (genetical recombination)|somapacitan (genetical recombination)|liraglutide (genetical recombination)|laronidase (genetical recombination)|somatrem (genetical recombination)|coagulation factor ix recombinant human|alteplase (genetical recombination)|coagulation factor ix (recombinant)|long-lasting oil-free moisturizer|long acting tussin cough gels
uterine contraction inhibitor||protein c (coagulation inhibitor)|bovine pancreatic trypsin inhibitor|fibrinolysis inhibitor|hiv integrase inhibitor|human c1-esterase inhibitor|mercaptocarboxylate inhibitor|recombinant human c1-inhibitor|recombinant human c1 inhibitor|feiba vh immuno anti inhibitor|listerine ultraclean fresh citrus
vitamin a and d agents (general medicine)||vitamin a and d skin protectant|vitamins a and d without lanolin|nighttime cold and flu extra strength medicine|premier value antacid and pain relief medicine|vitamin e cap 400unit natural source|vitamin e cap 200unit natural source|vitamin a cap 10000iu natural source|vitamin e 1000 i.u. (natural source)|vitamin e 400 i.u. (natural source)|vitamin e 200 i.u. (natural source)
cardiac stimulant (general drug)||aape continuous renewal serum|artelac lubricant eye drops|puriface spirulina eye gel masks|scaredy cat antibacterial hand|aape continuous renewal sun|zinc sulfate (anhydrous)|fiber-caps stimulant free fiber laxative|renk time lab intense age renewal serum|aruba aloe deodorant men extra dry|anti-bacterial hand tropical fruit
local-local japan||xylocaine oral spray|la flecha japonesa|mylan-eti-cal carepac|accel-pilocarpine|colloidal oatmeal|accel-olanzapine|odan-pilocarpine|cmx topical pain|accel-clonazepam|mylan-lovastatin
venous vascular plexus extract||lens scale pollen extract|acorus calamus extract|betula pendula pollen extract|rough marshelder pollen extract|bambusa vulgaris extract|red cedar pollen extract|wing scale pollen extract|peumus boldus leaf extract|douglas fir pollen extract|smooth sumac pollen extract
a||pea|bia|atp|oat|cpad|bean|sage|ca4p|avac|lamb
ts-1||gts-21|qs-21|tas-108|tas-116|tas-102|tas-117|dts-201|tas-106|ls11|na-1
docarpamine||dopamine|octopamine|dacarbazine|clocapramine|octaparine|dopexamine|procalamine|mosapramine|procarbazine|tolpropamine
local anesthesia||topical anesthetic|cvs oral anesthetic|ms topical anesthetic|fluothane anesthetic|gps topical anesthetic|spinal anesthesia tray|nrg topical anesthetic|blue gel anesthetic|spinal anaesthesia tray|topical anesthetic mint
[unknown drug]||tussin non drowsy|sunmark no drip|maranon fruit|generic drug|sun silk drops|fluorbon drops|cinnamon sugar|quenalin cough|unitron peg|runny nose and cough
antiparkinsonian||antiperspirant|aspart insulin|anti aging star|reviparin sodium|tinzaparin sodium|parnaparin sodium|antiplaque solution|naringenin|antimicrobial|antipyrine
local anaes thetics||topical anesthetic|cvs oral anesthetic|tlc plus anesthetic s|ms topical anesthetic|fluothane anesthetic|nrg topical anesthetic|gps topical anesthetic|topical anesthetic mint|plush anesthetics b|plush anesthetics t
those that act mainly on gram-positive||today vaginal contraceptive|healthmart saline single laxative|healthmart mineral oil single laxative|antiperspirant above teen be positive|children acetaminophen oral solution|bsafe instant foaming hand sanitizer|trolls cotton candy hand sanitizer|healthy accents milk of magnesia|forestheal vitamin c moisturizer|shoprite dual action complete
theastase||niastase|tilactase|streptase|theraseal|thera care|theratears|yeasts|herstat|ecstasy|lactase
thawed human red blood cell fluid||technetium tc-99m red blood cell human|technetium (99mtc) red blood cells|technetium tc-99m red blood cells|technetium tc 99m red blood cells|technetium tc-99m red blood cell|cellstory plus cell fluid|white mineral homme fluid|anti-vegf humanized monoclonal antibody|advanced cell boosting ex fluid|baby head and body jelly wash
pulmonary surfactant||kl4-surfactant|elepbaby disinfectant|sodium lauryl sulfoacetate|drummond aero instant|iduronate 2-sulfatase|aluminum subacetate|hclo disinfectant|phmb disinfectant|disposable disinfectant|chlorinie disinfectant
urinary and reproductive organs and anal medicine (general medicine)||head and shoulders hair and scalp conditioner instant relief|head and shoulders royal oils moisture renewal conditioner|rite aid severe toothache and gum relief triple medicated|g and h protect deodorant and antiperspirant roll on|head and shoulders hair and scalp conditioner green apple|premier value antacid and pain relief medicine|care one acid reducer and antacid dual action|kundal pure and safe pocket perfume hand sanitizer mist herb mint|natures sunshine products everflex topical analgesic pain relief|head and shoulders repair and protect hair and scalp conditioner
steroid pulse||sterigel plus|sterile|sterilube|ester c capsule|sterile diluent|sacrosidase|sterex lot plus|mustard pollen|sterile talc|prasterone sulfate
lit||elite|glint|litak|alimta|zalvit|licart|lohist|folite|iolite|zolvit
uri||murine|urised|turnip|purity|uloric|urea|epuris|diuril|uribel|rurina
inorganic salt combination drug||monistat 3 combination pack|monistat 1 combination pack|miconazole 3 combination pack|super aqua max combination watery|topcare miconazole 3 combination pack|hops-valerian combination cap|cough and chest congestion syrup|lenograstim (genetical recombination)|somatrem (genetical recombination)|mizani scalp care antidandruff
st mixture||ash mixture|sage mixture|elm mixture|oak mixture|tree mixture|fapp mixture|sorrel mixture|moist moisture|birch mixture|mucor mixture
liranaftate||tolnaftate|tolnafate|tolnaftato|l-aspartate|trivanadate|lime acetate|tolnaftate d|finafta|trandate|carafate
sm-13496||mk-1496|sm-153|sjg-136|gsi-136|hsk-3486|k-134|bms-184476|sp1049c|sb-131|mk-4965
upa||supia|duopa|bupap|ibupak|buspar|rupall|pea|udpgal|tuna|urea
liquismia||liqui vita|eliquis|liquical|gliquidona|quassia|lyxumia|larissia|liqufruta|liquid sex|liquitears
unspedified antiplatelet drugs||antiacide avec antiflatulent sus|new life antibacterial handsoap|nuvomed antibacterial wet wipes|sunshine's antibacterial soap|universal antibacterial wipes|cvs feminine intimate powder|deep fresh antibacterial wet wipes|dermarite antibacterial wet wipes|dr clinic antibacterial wet wipes|sunmark infants gas relief drops
eppikajutsuto||pipazetato|epinastinum|epinastine|nepicastat|nepadutant|epinastina|epinastin|optimal solution|gnp pink bismuth|kapikacchu seed
rheum palmatum||homosalatum|mebutamatum|ramiprilatum|meprobamatum|argentum oxydatum|resonium calcium|white petrolatum|emopamilum|febarbamatum|felbamatum
lipo||cipro|lidopro|lipofen|lipidol|lipodox|eliphos|lipitor|zipsor|livalo|lipsorex
antiviral agent||antiflautent|antimicrobial hand|anti aging|antiperspirant|nitrate d'argent|antibacterial wet|antibacterial gel|artifical tears|antivert tab|anti-nauseant
paraflebon||perflubron|aralen|paraoxon|paraffinol|paraplatin|parche leon|apararenone|paraform|perflexane|prasterone
psychiatric agents (general drugs)||children's feverhalt syrup|acne astringent toner pads|healthy accents nasal original|healthy accents nasal allergy|citri fructus (citrus junos)|diatrizoic acid (anhydrous)|cmc lubricant eye drops|sunmark infants gas relief drops|shiseido essential energy day|sc health antibacterial wipes
unspecified gastrointestinal agent||derangements gastro-intestinaux-cap 250mg|cvs triple action astringent|handsanitizer antibacterial gel|sheffield baby teething gel|esterified estrogens|sensitive skin facial astringent|hand sanitizer antibacterial gel|old spice classic original scent|secret outlast protecting clear|unscented hand sanitizer gel
proxy philin||proxyphylline|protriptilina|propicilina|procyclidin|propicillin|protriptylin|propantheline|noroxylin|propidine|protirelin
other nourishing tonics (general medicine)||positively nourishing dandruff control conditioner|jejuen nourishing opuntia sheet mask|ultimate nourishing rice overnight spa mask|clearasil skin tone acne crm medication|orajel multi-action cold sore medicine|jejuen nourishing opuntia ice pack|natria nourishing daily defense|positively nourishing dandruff control shampoo|better braids medicated un-braid medicated|clearasil vanishing acne crm medication
lipase ap12||olipudase alfa|mipaste plus|lip care spf 20|sebelipase alfa|viokase pwr|cerliponase alfa|lip care balm|fluidbase aha 10|mipaste one|lip balm spf15
onsei drink||oxedrine|nylidrin|oleandrin|oleandrina|orfenadrina|anti wrinkle|horse skin|oxandrin|octenidine|non-aspirin
unowndrug||guanoclorum|snowberry|up and up|kondremul|proandre|anandron|upandup|no drip|tonojug|onureg
unnkown drug||generic drug|unitron peg|sunmark no drip|cinnamon sugar|quenalin cough|rainbow trout|enlon plus|kondremul|no drip|tussin non drowsy
ots-102||tas-102|cts-1027|sbc-102|sot-107|tas-108|tzp-102|oc-1012|lsz-102|tas-106|cf-102
linifanib||tipifarnib|lonafarnib|linsitinib|iniparib|lucitanib|lifirafenib|lianfang|infanrix|lian fang|foslinanib
maintenance liquid (16)||antacid liquid susp|maintenance warehouse|anti nausea liquid|ethrane liquid inh|after bite liquid 3.61%|anti-nauseant liquid gels|antibacterial liquid hand|antibacterial liquid soap|menjugate liquid|reactine allergy liquid gels
other blood substitutes||ergoloid mesilates|lather hand sanitizer|after bite sensitive|northern bluefin tuna flesh|aethera hand sanitizer|soothe long lasting|ergoloid mesylates|sheer broad spectrum spf45|hemorrhoidal suppositories|wheat loose smut extract
limethason||flumethasone|mometason|flumetasona|flumetasone|trimethadion|dl-methadone|methadone|mometasone|mometasona|simethicone
pegbisomant (genetical recombination)||somatrem (genetical recombination)|abciximab (genetical recombination)|burosumab (genetical recombination)|infliximab (genetical recombination)|adalimumab (genetical recombination)|somapacitan (genetical recombination)|ocrelizumab (genetical recombination)|galsulfase (genetical recombination)|lenograstim (genetical recombination)|alteplase (genetical recombination)
other antineoplastic agents||hyvee antiseptic mint|antineoplaston a10|antineoplaston a 10|damochem antiseptic hand gel|metro antiperspirant stick scented|hyvee antiseptic blue mint|hyvee antiseptic original|threonine-aspartic ester|organic antiseptic gel|orbel antiseptic hand rub
lily zalostat||ibezapolstat|lidostat|lithostat|ilomastat|niraxostat|talabostat|piraxostat|migalastat|linrodostat|osilodrostat
biodiastase||niastase|bimosiamose|diastat|biovita|bicisate|colaspase|tilactase|boil ease|bilastine|soriatane
